model,src,ref,hyp
tiiuae/Falcon3-7B-Instruct,"أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""We now have a 4-month-old girl named Farah who was diagnosed with diabetes mellitus type 1, but she has been fine since then.""
<|assistant|>
We now have a 4-month-old girl named Farah who was diagnosed with type 1 diabetes mellitus, but she has been fine since then."
tiiuae/Falcon3-7B-Instruct,نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","The doctor's warning to Judah Or - Professor of Medicine at Dalhousie University in Halifax, Nova Scotia, and president of the Canadian Society of Clinical Endocrinology, Dr. Now Sokota said the search is ongoing.
<|assistant|>
دكتور عنوان العامة لجامعة دالهوزي في هاليفاكس، ورئيس الشع"
tiiuae/Falcon3-7B-Instruct,مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Like the other remaining panelists, he is uncertain whether diabetes can be cured, bearing in mind that these results are not related to the people who had type 1 diabetes previously."
tiiuae/Falcon3-7B-Instruct,في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","On Tuesday, the Nobel Literature Prize-winning novelist Sara Danius announced during a press conference on Swedish Radio in Sweden that the Academy, which has not been able to award Bob Dylan a Nobel Prize in Literature in 2016, may have given up on its efforts to do so.
<|assistant|>
On Tuesday, Nobel Literature Prize-winning novelist Sara Danius announced during a press conference on Swedish Radio in Sweden that the Academy, which has not been able"
tiiuae/Falcon3-7B-Instruct,"قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","""Dennis said: 'We won't do anything now. I've made contact and sent an e-mail to the closest collaborators and received some excellent responses. This is sufficient for the time being, of course.'"""
tiiuae/Falcon3-7B-Instruct,في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","In the previous, Jim Simon, the Ring company's CEO, said the company started when its founder wasn't satisfied with the market in which he was selling.
<|assistant|>
ما بين الأسباب التي تسبب الانتباهات التي تم تحديدها في السابق؟"
tiiuae/Falcon3-7B-Instruct,قال إنه صنع جرس باب يعمل بتقنية واي فاي.,"He built a WiFi door bell, he said.",He said that the Bab worked according to a certain technique.
tiiuae/Falcon3-7B-Instruct,قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Simonow said that sales went up after he launched in 2013 at Tane, where he refused the board to invest in the startup."
tiiuae/Falcon3-7B-Instruct,"في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.","In late 2017, Siminoff appeared on shopping television channel QVC.","In late 2017, ""Seminoe"" appeared on the television market in Syria."
tiiuae/Falcon3-7B-Instruct,كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Like Ring has already done by accepting a legal summons from the ADT, a non-governmental security company.
<|assistant|>
Like Ring has already done by accepting a legal summons from the ADT, a non-governmental security company."
