model,src,ref,hyp
ALLaM-AI/ALLaM-7B-Instruct-preview,"أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","He added, ""We now have four-month-old mice that used to suffer from diabetes, but they no longer do."""
ALLaM-AI/ALLaM-7B-Instruct-preview,نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Nabahat al-dكتور Aihud Ur - أستاذ al-tibb fi jam'iyyat Dalhousie fi Halifax, Nova Scotia wa rasid al-shu'ba al-tibbiyah wal-'ilmiyah fi al-majma' al-kanadi lil-diabati - ila anna al-buhuth la yazal fi ayy"
ALLaM-AI/ALLaM-7B-Instruct-preview,مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Mitha ɛalā ɛabər al-xəṣsāriyya, fahuwa muctashik ɓi ɓimmah ɓi ɓimmah ɓi ɓimmah ɓi ɓimmah ɓi ɓimmah ɓi ɓimma"
ALLaM-AI/ALLaM-7B-Instruct-preview,في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","On Monday, Sara Danius -the permanent secretary of the Nobel Committee for Literature in the Swedish Academy- publicly announced during an interview on Swedish Radio in Sweden, that the committee -which was unable to reach Bob Dylan directly regarding his winning the Nobel Prize in Literature in 2016- had given up on its efforts to reach him."
ALLaM-AI/ALLaM-7B-Instruct-preview,"قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius said, ""We will not do anything now. I have called and sent emails to his closest collaborators and received very nice responses. This is enough for the time being, of course."""
ALLaM-AI/ALLaM-7B-Instruct-preview,في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Fi sabiq, naqha Jimi Seminov, al-Risal al-Kharijiya li-Ring, an al-kamiyya bada'at idha lam yakun jasirat bawabihi mumayyaza min matajih fi makharajih."
ALLaM-AI/ALLaM-7B-Instruct-preview,قال إنه صنع جرس باب يعمل بتقنية واي فاي.,"He built a WiFi door bell, he said.",He said that he made a doorbell that works with Wi-Fi technology.
ALLaM-AI/ALLaM-7B-Instruct-preview,قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminov said sales increased after his appearance in 2013 on the episode of Shark Tank, where the panel of judges rejected funding for the startup company."
ALLaM-AI/ALLaM-7B-Instruct-preview,"في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.","In late 2017, Siminoff appeared on shopping television channel QVC.","Fi awâl 2017, akhbar ""SIMINOV"" 3ala qanat al-tajawul al-tawziy QVC."
ALLaM-AI/ALLaM-7B-Instruct-preview,كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","As Ring settled a lawsuit with its competitor, ADT, a security company."
