model,src,ref,hyp
tiiuae/Falcon3-7B-Instruct,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.","نحن دائماً لدينا أربعة أسابيع كبار من المياكسي وهم لا يمكن ان يكونوا ذونياء وهم كما كانوا ذونيا، قال.
<|assistant|>
قد زادنا اليوم"
tiiuae/Falcon3-7B-Instruct,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,"Dr. Ehud Ur, فلسفة دراسة الطب في جامعة دالواشنتو في هاسكيلز، نوفا سكتيو، وكئيس للقسم الملخص والنباتي للمجلس الصحي السنوي"
tiiuae/Falcon3-7B-Instruct,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,كما بعض الأئمة المهندسين، هذا الشخص يخلف في ذكر أن النعاس لا يستطيع مراقبة وهو يظهر أن هذه النتائج لا تعلق بشخصيات ال�
tiiuae/Falcon3-7B-Instruct,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,"<|assistant|>
للأحد ، سارة دانيوس ، ملكة الملائكة للعلامة الربنية في اللغة الإنجليزية في الكتاب ، في التصميم العام للعلامة ، تحدث على"
tiiuae/Falcon3-7B-Instruct,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".","<|assistant|>
دانيوس قال: ""نحن في الوقت الذي يمكننا أن نفعل شيء لم نفعله. أدعوت بعض خاصة من عملاءه وأرسلت دليلاتي إليهم وأ"
tiiuae/Falcon3-7B-Instruct,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,"<|assistant|>
بالطبع الشركة تقول جميل سيمينوف ، الشركة بدأت بعناية صديقته في مكان خاص به في محطة غارا."
tiiuae/Falcon3-7B-Instruct,"He built a WiFi door bell, he said.",قال إنه صنع جرس باب يعمل بتقنية واي فاي.,"<|assistant|>
قام بنشرد خلاصة الرياضية ، وقال."
tiiuae/Falcon3-7B-Instruct,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,"<|assistant|>
سيمينوف في التصديق على أن الإستثمارات زادت خلال عملية غيرية 2013 في التصديق الذي كان معروف به في العديد من الأعمال الت"
tiiuae/Falcon3-7B-Instruct,"In late 2017, Siminoff appeared on shopping television channel QVC.","في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.","في النهاية العاصفة للسنة 2017، Siminoff ظهرت في شهرته الخدمة قVC.
<|assistant|>
لقد قمت بتشريعة الإنقاذ في العام 2017."
tiiuae/Falcon3-7B-Instruct,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,"الرين أيضاً تأمين حماية مع شركة حماية متناهضة، ADT Corporation.
<|assistant|>
Ring معاكسها تأمين حماية مع شركة حماية متناهضة، ADT Corporation."
