Task,Version,Filter,n-shot,Metric,Value,Stderr
arabicmmlu,1,none,0,acc,0.7005,0.0037
Humanities,1,none,0,acc,0.7475,0.0069
History (High School),1,none,0,acc,0.5329,0.0181
History (Middle School),1,none,0,acc,0.758,0.0301
History (Primary School),1,none,0,acc,0.7549,0.0428
Islamic Studies,1,none,0,acc,0.7668,0.0167
Islamic Studies (High School),1,none,0,acc,0.7395,0.0241
Islamic Studies (Middle School),1,none,0,acc,0.7941,0.0263
Islamic Studies (Primary School),1,none,0,acc,0.8829,0.0142
Law (Professional),1,none,0,acc,0.7548,0.0243
Philosophy (High School),1,none,0,acc,0.7949,0.0655
Language,1,none,0,acc,0.7388,0.0104
Arabic Language (General),1,none,0,acc,0.8186,0.0156
Arabic Language (Grammar),1,none,0,acc,0.7644,0.0222
Arabic Language (High School),1,none,0,acc,0.5308,0.0253
Arabic Language (Middle School),1,none,0,acc,0.8148,0.0762
Arabic Language (Primary School),1,none,0,acc,0.8214,0.0242
Other,1,none,0,acc,0.7403,0.0088
Driving Test,1,none,0,acc,0.7168,0.013
General Knowledge,1,none,0,acc,0.7616,0.0145
General Knowledge (Middle School),1,none,0,acc,0.7616,0.0326
General Knowledge (Primary School),1,none,0,acc,0.7963,0.0317
Management (University),1,none,0,acc,0.7067,0.0529
Social Science,1,none,0,acc,0.6641,0.0078
Accounting (University),1,none,0,acc,0.7432,0.0511
Civics (High School),1,none,0,acc,0.5057,0.0539
Civics (Middle School),1,none,0,acc,0.6483,0.0311
Economics (High School),1,none,0,acc,0.6833,0.0246
Economics (Middle School),1,none,0,acc,0.8046,0.0428
Economics (University),1,none,0,acc,0.6496,0.0409
Geography (High School),1,none,0,acc,0.5703,0.0154
Geography (Middle School),1,none,0,acc,0.7426,0.0266
Geography (Primary School),1,none,0,acc,0.8246,0.0508
Political Science (University),1,none,0,acc,0.6238,0.0335
Social Science (Middle School),1,none,0,acc,0.5643,0.032
Social Science (Primary School),1,none,0,acc,0.7972,0.0152
STEM,1,none,0,acc,0.6364,0.0082
Biology (High School),1,none,0,acc,0.5131,0.0133
Computer Science (High School),1,none,0,acc,0.7059,0.0283
Computer Science (Middle School),1,none,0,acc,0.8519,0.0697
Computer Science (Primary School),1,none,0,acc,0.7263,0.0234
Computer Science (University),1,none,0,acc,0.6875,0.0584
Math (Primary School),1,none,0,acc,0.6895,0.0229
Natural Science (Middle School),1,none,0,acc,0.8347,0.0239
Natural Science (Primary School),1,none,0,acc,0.8869,0.0173
Physics (High School),1,none,0,acc,0.5412,0.0313
