model,level,support,accuracy
inceptionai/jais-family-6p7b-chat,3,7286,0.3676
inceptionai/jais-family-6p7b-chat,5,7286,0.2271
inceptionai/jais-family-6p7b-chat,7,7286,0.1344
inceptionai/jais-family-6p7b-chat,19,7286,0.0423
tiiuae/Falcon3-7B-Instruct,3,7286,0.3582
tiiuae/Falcon3-7B-Instruct,5,7286,0.2204
tiiuae/Falcon3-7B-Instruct,7,7286,0.1523
tiiuae/Falcon3-7B-Instruct,19,7286,0.0045
omarwaleed523/qwen3-8b-arabic-multitask,3,7286,0.4986
omarwaleed523/qwen3-8b-arabic-multitask,5,7286,0.2136
omarwaleed523/qwen3-8b-arabic-multitask,7,7286,0.0504
omarwaleed523/qwen3-8b-arabic-multitask,19,7286,0.0044
ALLaM-AI/ALLaM-7B-Instruct-preview,3,7286,0.4480
ALLaM-AI/ALLaM-7B-Instruct-preview,5,7286,0.2440
ALLaM-AI/ALLaM-7B-Instruct-preview,7,7286,0.1341
ALLaM-AI/ALLaM-7B-Instruct-preview,19,7286,0.0071
silma-ai/SILMA-9B-Instruct-v1.0,3,7286,0.5037
silma-ai/SILMA-9B-Instruct-v1.0,5,7286,0.2053
silma-ai/SILMA-9B-Instruct-v1.0,7,7286,0.0454
silma-ai/SILMA-9B-Instruct-v1.0,19,7286,0.0044
