model,levels,n_test,overall_acc,level,support,correct,acc,pred_count,pred_frac
inceptionai/jais-family-6p7b-chat,5,7286,0.0795,1,1399,24,0.0172,34,0.0047
inceptionai/jais-family-6p7b-chat,5,7286,0.0795,2,2205,12,0.0054,43,0.0059
inceptionai/jais-family-6p7b-chat,5,7286,0.0795,3,2100,165,0.0786,628,0.0862
inceptionai/jais-family-6p7b-chat,5,7286,0.0795,4,1315,378,0.2875,2308,0.3168
inceptionai/jais-family-6p7b-chat,5,7286,0.0795,5,267,0,0.0000,3,0.0004
tiiuae/Falcon3-7B-Instruct,5,7286,0.2046,1,1399,1047,0.7484,4464,0.6127
tiiuae/Falcon3-7B-Instruct,5,7286,0.2046,2,2205,42,0.0190,177,0.0243
tiiuae/Falcon3-7B-Instruct,5,7286,0.2046,3,2100,75,0.0357,224,0.0307
tiiuae/Falcon3-7B-Instruct,5,7286,0.2046,4,1315,322,0.2449,1757,0.2411
tiiuae/Falcon3-7B-Instruct,5,7286,0.2046,5,267,5,0.0187,101,0.0139
omarwaleed523/qwen3-8b-arabic-multitask,5,7286,0.2783,1,1399,71,0.0508,156,0.0214
omarwaleed523/qwen3-8b-arabic-multitask,5,7286,0.2783,2,2205,7,0.0032,76,0.0104
omarwaleed523/qwen3-8b-arabic-multitask,5,7286,0.2783,3,2100,1923,0.9157,6499,0.8920
omarwaleed523/qwen3-8b-arabic-multitask,5,7286,0.2783,4,1315,26,0.0198,198,0.0272
omarwaleed523/qwen3-8b-arabic-multitask,5,7286,0.2783,5,267,1,0.0037,355,0.0487
ALLaM-AI/ALLaM-7B-Instruct-preview,5,7286,0.2801,1,1399,95,0.0679,131,0.0180
ALLaM-AI/ALLaM-7B-Instruct-preview,5,7286,0.2801,2,2205,67,0.0304,199,0.0273
ALLaM-AI/ALLaM-7B-Instruct-preview,5,7286,0.2801,3,2100,1462,0.6962,5348,0.7340
ALLaM-AI/ALLaM-7B-Instruct-preview,5,7286,0.2801,4,1315,408,0.3103,1215,0.1668
ALLaM-AI/ALLaM-7B-Instruct-preview,5,7286,0.2801,5,267,9,0.0337,392,0.0538
silma-ai/SILMA-9B-Instruct-v1.0,5,7286,0.3702,1,1399,765,0.5468,1679,0.2304
silma-ai/SILMA-9B-Instruct-v1.0,5,7286,0.3702,2,2205,4,0.0018,18,0.0025
silma-ai/SILMA-9B-Instruct-v1.0,5,7286,0.3702,3,2100,1443,0.6871,4387,0.6021
silma-ai/SILMA-9B-Instruct-v1.0,5,7286,0.3702,4,1315,483,0.3673,1051,0.1442
silma-ai/SILMA-9B-Instruct-v1.0,5,7286,0.3702,5,267,2,0.0075,142,0.0195
