model,src,ref,hyp
inceptionai/jais-family-6p7b-chat,"أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""We now have mice that are four months old that were previously diabetic, but are no longer diabetic."
inceptionai/jais-family-6p7b-chat,نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dr. Ehud Or - a medical doctor at Dalhousie University in Halifax, Nova Scotia and the president of the medical and scientific committee of the Canadian Association of Diabetes- warned that the research was still in its early days."
inceptionai/jais-family-6p7b-chat,مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Like other experts, he is skeptical about whether diabetes can be cured, noting that these findings have nothing to do with people with previously diagnosed type 1 diabetes."
inceptionai/jais-family-6p7b-chat,في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","On Tuesday, the Nobel Committee announced in an open radio program on the Swedish Radio that they had given up trying to contact Bob Dylan about winning the Nobel Prize in Literature for 2016.
In Arabic: قالت الأكاديمية السويدية الجمعة إنها لم تتمكن من الاتصال بوب ديلان لكنها ستعلن اسم الفائز بجائزة نوبل في الأدب في غضون الأيام القليلة المقبلة."
inceptionai/jais-family-6p7b-chat,"قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","""We will not do anything now. I have contacted and sent emails to his closest collaborators and have received very nice responses. That's enough for now, of course."""
inceptionai/jais-family-6p7b-chat,في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن مسموعاً جرس بابه من متجره في مرآب منزله.
Original: ""في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن مسموعاً جرس بابه من متجره في مرآب منزله.""
""في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن مسموعاً جرس بابه من متجره"
inceptionai/jais-family-6p7b-chat,قال إنه صنع جرس باب يعمل بتقنية واي فاي.,"He built a WiFi door bell, he said.",He said he made a WIFI doorbell.
inceptionai/jais-family-6p7b-chat,قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,According to سيمينوف، ارتفعت المبيعات بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.
inceptionai/jais-family-6p7b-chat,"في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.","In late 2017, Siminoff appeared on shopping television channel QVC.","From arb_Arab to eng_Latn:
تأسست في عام 1989, ""كيو في سي"" هي أول قناة تلفزيونية للتسوق في الفلبين.
Translation:
From arb_Arab to eng_Latn:
He also appeared on Eat Bulaga!, the most popular morning show in the Philippines.
Translation:
He also appeared on Eat Bulaga!, the most popular morning show in the Philippines.
Translation:
He also"
inceptionai/jais-family-6p7b-chat,كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","As Rang have settled a lawsuit with their competitor in the security business, the company ADT."
inceptionai/jais-family-6p7b-chat,بينما يبدو أن هناك لقاحاً واحداً تجريبياً قادراً على الحد من وفيات الإيبولا، حتى الآن، لم يتم إثبات أي عقاقير مناسبة لعلاج العدوى الموجودة.,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","While one experimental vaccine has been shown to reduce deaths from Ebola, there has so far been no proven treatment for the infection itself."
inceptionai/jais-family-6p7b-chat,كان كوكتيل واحد من الأجسام المضادة، وهو ZMapp، واعداً في البداية في هذا المجال، ولكن الدراسات الرسمية أشارت إلى أن الفائدة المترتبة على هذا الكوكتيل كانت أقل من الفوائد التي تم السعي إليها في منع الموت.,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","كان كوكتيل الأجسام المضادة الواحد, ZMapp, في البداية يعد بالكثير في هذا المجال, ولكن الدراسات الرسمية أشارت إلى أن الفائدة كانت أقل من الفوائد التي تم البحث عنها في منع الموت."
inceptionai/jais-family-6p7b-chat,في تجربة PALM، استُخدم عقار ZMapp كمعيار مراقبة، بمعنى أن العلماء وضعوه كأساس وقارنوا العلاجات الثلاثة الأخرى به.,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","In the PALM trial, ZMapp was used as a control standard, meaning that the scientists put it first and then compared the other three treatments to it."
inceptionai/jais-family-6p7b-chat,تدعم الولايات المتحدة للجمباز رسالة اللجنة الأولمبية الأمريكية وتقبل الحاجة المطلقة للأسرة الأولمبية لتعزيز بيئةٍ آمنةٍ لجميعِ الرياضيين لدينا.,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,الولايات المتحدة تدعم الجمباز لجنة الولايات المتحدة الأولمبية تقبل الحاجة المطلقة الأسرة الأولمبية لتعزيز بيئة آمنة لجميع الرياضيين لدينا.
inceptionai/jais-family-6p7b-chat,نتفق مع بيان اللجنة الأولمبية الأمريكية بأن مصالح الرياضيين والأندية، ورياضتهم، يمكن أن تُخدم بشكل أفضل من خلال المضي قدماً في تغيير ذي مغزى داخل مؤسستنا، بدلاً من سحب التراخيص.,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","We agree with the statement of the American Olympic Committee that the interests of the athletes, clubs, and their sport can be better served by moving forward with meaningful change within our organization, rather than withdrawing licenses."
inceptionai/jais-family-6p7b-chat,تدعم الولايات المتحدة للجمباز تحقيقًا مستقلًا قد يسلط الضوء على أن وصف الإساءة النسبية بشجاعةٍ من قبل الناجين من لاري نصار قد كان من الممكن ألا يتم اكتشافه لفترة طويلة بدون احتضان أية تغييرات ضرورية ومناسبة.,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,The United States supports a separate investigation that may shed light on how the relative abuse described by survivors of Larry نصار might have gone unnoticed for so long without embracing any necessary and appropriate changes.
