model,src,ref,hyp
ALLaM-AI/ALLaM-7B-Instruct-preview,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.","""لدينا الآن فئران عمرها أربعة أشهر غير مصابة بالسكري، وكانت مصابة بالسكري من قبل""، كما أضاف."
ALLaM-AI/ALLaM-7B-Instruct-preview,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,د. إهود أور، أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوشا ورئيس قسم العلوم السريرية والعلمية في جمعية السكري الكندية، حذر من أن البحث لا يزال في مراحله الأولى.
ALLaM-AI/ALLaM-7B-Instruct-preview,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,مِثْل بَعْضِ ٱلْخُبَرَاءِ ، هُوَ مُتَشَائِمٌ عَنْ أَمْرِ مَا إِذَا كَانَ ٱلْدِئَبٗطَ يُمْكِنُ أَنْ يُعَالَجَ ، مُشِيرًا إِلَىٰ أَنَّ هَذِهِ ٱلْمَوَٰدِرَ لَيْسَ لَهَا صِلَةٌ بِٱلنَّاسِ ٱلَّذِينَ يَعِيشُونَ بِٱلْدِئَابِطَ ٱل
ALLaM-AI/ALLaM-7B-Instruct-preview,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,في يوم الاثنين، أعلنت سارة دانيوس، السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية، علنًا خلال برنامج إذاعي على راديو السويد في السويد أن اللجنة، غير قادرة على التواصل مع بوب ديلان مباشرةً بشأن فوزه بجائزة نوبل للأدب لعام 2016، قد تخلت عن جهودها للتواصل معه.
ALLaM-AI/ALLaM-7B-Instruct-preview,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".","قال دانوس: ""نحن الآن لا نفعل شيئًا. لقد اتصلت به وأرسلت له رسائل إلكترونية إلى أقرب متعاون معه، وحصلت على ردود ودية للغاية. في الوقت الحالي، هذا بالتأكيد كافٍ."""
ALLaM-AI/ALLaM-7B-Instruct-preview,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,سابقًا، أشارَ الرئيس التنفيذي لشركة رينج، جيمي سيمينوف، إلى أنّ الشركة بدأت عندما لم يكن جرس الباب مسموعًا من متجره في مرآب منزله.
ALLaM-AI/ALLaM-7B-Instruct-preview,"He built a WiFi door bell, he said.",قال إنه صنع جرس باب يعمل بتقنية واي فاي.,بنى جهازَ اتصالٍ لاسلكيٍّ للباب، قال.
ALLaM-AI/ALLaM-7B-Instruct-preview,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,قال سيمينوف إن المبيعات ازدادت بعد ظهوره في حلقة من برنامج شارك تانك في عام 2013، حيث رفضت لجنة البرنامج تمويل الشركة الناشئة.
ALLaM-AI/ALLaM-7B-Instruct-preview,"In late 2017, Siminoff appeared on shopping television channel QVC.","في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",وفي أواخر عام 2017، ظهر سيميونوف على قناة التسوق التلفزيونية QVC.
ALLaM-AI/ALLaM-7B-Instruct-preview,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,قامت شركة رينغ بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة أيه دي تي.
ALLaM-AI/ALLaM-7B-Instruct-preview,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",بينما يبدو أن هناك لقاحاً واحداً تجريبياً قادراً على الحد من وفيات الإيبولا، حتى الآن، لم يتم إثبات أي عقاقير مناسبة لعلاج العدوى الموجودة.,وَأَمَّا الْآنَ فَيَظْهَرُ عِلْمٌ وَاحِدٌ لِقَـدْرَةِ الْيَقَظَةِ، وَهُوَ أَنَّهُ يَقْدِرُ عَلَى تَنْقِيَةِ الْمَوْتِ الَّذِي هُوَ عَدَمُ الْحَيَاةِ، وَيَقْدِرُ عَلَى تَنْقِيَةِ الْحَيَاةِ الَّتِي هِيَ حَيَاةٌ حَقِيقِيَّةٌ.
