model,src,ref,hyp
silma-ai/SILMA-9B-Instruct-v1.0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.",
silma-ai/SILMA-9B-Instruct-v1.0,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,الدكتور عهد أور، أستاذ الطب بجامعة دالهاوسي في حليفاكس، نوفا سكوتيا، ورئيس قسم العلوم والطب في جمعية السكري الكندية، حذر من أن الأبحاث لا تزال في مراحلها الأولى.
silma-ai/SILMA-9B-Instruct-v1.0,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,تشكك بعض الخبراء، وهو منهم، في إمكانية علاج السكري، مشيرًا إلى أن هذه النتائج لا تهم من يعانون من السكري من النوع الأول.
silma-ai/SILMA-9B-Instruct-v1.0,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,
silma-ai/SILMA-9B-Instruct-v1.0,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".",
silma-ai/SILMA-9B-Instruct-v1.0,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,كان الرئيس التنفيذي لشركة رينغ، جيمي سيمينوف، قد ذكر أن الشركة بدأت عندما كان لا يستطيع سماع جرس بابه من متجره في مرآب منزله.
silma-ai/SILMA-9B-Instruct-v1.0,"He built a WiFi door bell, he said.",قال إنه صنع جرس باب يعمل بتقنية واي فاي.,بنى جرس إنذار واي فاي، قال.
silma-ai/SILMA-9B-Instruct-v1.0,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,قال سيمينوف أن المبيعات ارتفعت بعد ظهوره في حلقة من برنامج شاطئ الأسماك في عام 2013 حيث رفضت لجنة البرنامج تمويل الشركة الناشئة.
silma-ai/SILMA-9B-Instruct-v1.0,"In late 2017, Siminoff appeared on shopping television channel QVC.","في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",في أواخر عام 2017، ظهر سيمينوف على قناة التسوق التلفزيونية كف سي.
silma-ai/SILMA-9B-Instruct-v1.0,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,حلّ أيضًا قضيةً مع شركة أمن منافسة، شركة أيه دي تي.
