Task,Version,Filter,n-shot,Metric,Value,Stderr
arabicmmlu,1,none,0,acc,0.6093,0.0040
Humanities,1,none,0,acc,0.5783,0.0080
History (High School),1,none,0,acc,0.4750,0.0181
History (Middle School),1,none,0,acc,0.6158,0.0342
History (Primary School),1,none,0,acc,0.5294,0.0497
Islamic Studies,1,none,0,acc,0.4570,0.0197
Islamic Studies (High School),1,none,0,acc,0.6437,0.0262
Islamic Studies (Middle School),1,none,0,acc,0.6957,0.0308
Islamic Studies (Primary School),1,none,0,acc,0.7357,0.0140
Law (Professional),1,none,0,acc,0.4299,0.0280
Philosophy (High School),1,none,0,acc,0.6195,0.0789
Language,1,none,0,acc,0.6245,0.0115
Arabic Language (General),1,none,0,acc,0.7222,0.0181
Arabic Language (Grammar),1,none,0,acc,0.6712,0.0246
Arabic Language (High School),1,none,0,acc,0.3795,0.0246
Arabic Language (Middle School),1,none,0,acc,0.6667,0.0925
Arabic Language (Primary School),1,none,0,acc,0.6944,0.0291
Other,1,none,0,acc,0.6574,0.0095
Driving Test,1,none,0,acc,0.6945,0.0132
General Knowledge,1,none,0,acc,0.5880,0.0168
General Knowledge (Middle School),1,none,0,acc,0.7098,0.0347
General Knowledge (Primary School),1,none,0,acc,0.6975,0.0362
Management (University),1,none,0,acc,0.6533,0.0553
Social Science,1,none,0,acc,0.6093,0.0081
Accounting (University),1,none,0,acc,0.6081,0.0571
Civics (High School),1,none,0,acc,0.4598,0.0537
Civics (Middle School),1,none,0,acc,0.5932,0.0320
Economics (High School),1,none,0,acc,0.6194,0.0256
Economics (Middle School),1,none,0,acc,0.7913,0.0437
Economics (University),1,none,0,acc,0.6058,0.0419
Geography (High School),1,none,0,acc,0.5385,0.0455
Geography (Middle School),1,none,0,acc,0.6765,0.0284
Geography (Primary School),1,none,0,acc,0.6140,0.0651
Political Science (University),1,none,0,acc,0.5952,0.0340
Social Science (Middle School),1,none,0,acc,0.5187,0.0323
Social Science (Primary School),1,none,0,acc,0.7191,0.0169
STEM,1,none,0,acc,0.5994,0.0084
Biology (High School),1,none,0,acc,0.4975,0.0133
Computer Science (High School),1,none,0,acc,0.6109,0.0301
Computer Science (Middle School),1,none,0,acc,0.7778,0.0815
Computer Science (Primary School),1,none,0,acc,0.7158,0.0238
Computer Science (University),1,none,0,acc,0.6875,0.0584
Math (Primary School),1,none,0,acc,0.6308,0.0239
Natural Science (Middle School),1,none,0,acc,0.7397,0.0283
Natural Science (Primary School),1,none,0,acc,0.8571,0.0191
Physics (High School),1,none,0,acc,0.4941,0.0314
