model,src,ref,hyp
Qwen/Qwen2.5-7B-Instruct,"أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","He added, ""We now have 4-month-old mice that previously had diabetes, but they no longer suffer from it."" 

This translation conveys the meaning of the original Arabic sentence in English. The key points are:

1. The speaker is adding more information.
2. They are referring to mice that are 4 months old.
3. These mice previously had diabetes.
4. However, they no longer have diabetes. 

The translation maintains the structure and intent of the"
Qwen/Qwen2.5-7B-Instruct,نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dr. Ehud Or, an assistant professor of medicine at Dalhousie University in Halifax, Nova Scotia and the head of the medical and scientific section of the Canadian Diabetes Association, warned that the research is still in its early days. 

Note: The original text had a slight error in the translation of Dr. Ehud Or's title. In Arabic, ""أستاذ"" means ""assistant professor,"" so I've corrected it accordingly. Also, ""الشعبة"
Qwen/Qwen2.5-7B-Instruct,مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Like the other experts, he is skeptical whether diabetes can be cured, noting that these results do not pertain to people who previously had type 1 diabetes. 

Note: ""arb_Arab"" refers to Arabic written in the Arabic script direction (right-to-left), and ""eng_Latn"" refers to English written in the Latin script direction (left-to-right). The translation provided maintains the meaning of the original Arabic sentence while adapting it to English syntax and vocabulary."
Qwen/Qwen2.5-7B-Instruct,في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","On Monday, Sara Danius -the permanent secretary of the Swedish Academy's Nobel Committee for Literature- announced on air during a Swedish radio program in Sweden that the committee, which was unable to directly reach Bob Dylan regarding the 2016 Nobel Prize in Literature, had given up its efforts to contact him. 

Note: The original text is in Arabic (Arabic script), and the translation is into English (Latin script). The name ""Bob Dylan"" remains unchanged as"
Qwen/Qwen2.5-7B-Instruct,"قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danyous said, ""We will not do anything now. You have made the contact and sent emails to his closest collaborators, and you got very nice responses. Of course, this is enough for now."" 

Note: The name ""Danyous"" appears to be a transliteration of an Arabic name, possibly ""دانيوس"" (Dāniyūs). If there's a specific English name you'd like to use instead, please let me know!"
Qwen/Qwen2.5-7B-Instruct,في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Previously, Jimmy Seminov, the CEO of Ring, noticed that the company started when his doorbell was not audible from his store in his home garage. 

Note: The name ""Jimmy Seminov"" and the company name ""Ring"" are kept as they are, since they are proper nouns. The rest of the sentence has been translated to English (Latin script). The original Arabic sentence structure has been slightly adjusted for better readability in English. The term ""مرآ"
Qwen/Qwen2.5-7B-Instruct,قال إنه صنع جرس باب يعمل بتقنية واي فاي.,"He built a WiFi door bell, he said.","He said he made a doorbell that works with Wi-Fi technology. 

In this translation, ""قال"" means ""he said,"" ""إن"" is translated as ""that"" for clarity in English, ""صنع"" translates to ""made,"" ""جرس باب"" means ""doorbell,"" ""يعمل"" translates to ""works,"" and ""بتقنية واي فاي"" is rendered as ""with Wi-Fi technology."" The term ""Wi-Fi"" remains unchanged"
Qwen/Qwen2.5-7B-Instruct,قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Semyonov said that sales increased after his appearance in 2013 on the program Tank, where the funding committee refused to finance the company. 

This translation maintains the meaning of the original Arabic sentence while converting it into English (Latin script). Here's a breakdown of the translation:

- ""قال سيمينوف"" translates to ""Semyonov said""
- ""إن المبيعات ارتفعت"" translates to ""that sales increased""
-"
Qwen/Qwen2.5-7B-Instruct,"في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.","In late 2017, Siminoff appeared on shopping television channel QVC.","In late 2017, ""Semenov"" appeared on the television shopping channel QVC. 

Note that ""سيمينوف"" (Semenov) is a Russian surname transliterated into Arabic script, and it remains unchanged in the translation. The name ""QVC"" is kept as is, since it's an acronym for the company name. The date and channel are also directly translated. 
The sentence structure has been adjusted slightly to fit natural English syntax"
Qwen/Qwen2.5-7B-Instruct,كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Range also settled a legal dispute with the competing security company, ADT. 

Here's a breakdown of the translation:

- ""كما"" (kama) means ""also"" or ""likewise""
- ""قامت"" (qamata) is the past tense form of ""to do"" or ""to make"" in feminine form, which here translates to ""has settled"" or ""settled""
- ""بن"" (bin) is a preposition that"
